"id","person_id","occupation_id"
1460,1546,16
1461,1547,31
1462,1547,44
1463,1548,13
1464,1551,4
1465,1551,3
1466,1552,16
1467,1555,3
1468,1556,21
1469,1556,4
1470,1556,31
1471,1557,3
1472,1558,3
1473,1559,3
1474,1563,7
1475,1563,1
1476,1564,3
1477,1565,3
1478,1565,4
1479,1566,3
1480,1567,3
1482,1569,7
1483,1570,11
1485,1572,13
1486,1573,3
1487,1574,16
1488,1575,3
1489,1578,11
1490,1579,16
1491,1580,80
1492,1580,72
1493,1580,53
1494,1581,3
1495,1583,21
1496,1583,5
1497,1584,3
1499,1586,6
1500,1587,53
1501,1587,47
1502,1588,66
1503,1589,10
1504,1590,11
1505,1591,3
1507,1593,29
1508,1593,4
1509,1594,16
1510,1594,1
1511,1594,54
1512,1594,4
1514,1597,3
1515,1599,53
1516,1600,7
1517,1600,34
1518,1600,35
1519,1602,7
1520,1602,16
1521,1603,11
1522,1603,1
1523,1604,28
1524,1604,11
1525,1604,4
1526,1604,5
1527,1605,81
1529,1610,7
1531,1612,11
1532,1613,11
1533,1614,3
1534,1615,4
1535,1615,82
1536,1616,7
1537,1616,19
1538,1618,4
1539,1619,5
1540,1619,11
1541,1620,31
1542,1621,4
1544,1624,53
1545,1624,38
1546,1625,10
1547,1625,31
1548,1626,3
1549,1627,16
1550,1627,72
1551,1628,9
1552,1628,16
1553,1630,19
1554,1631,30
1557,1634,3
1558,1635,3
1560,1639,7
1561,1641,4
1562,1641,11
1563,1641,1
1564,1641,54
1565,1642,13
1566,1643,3
1569,1648,5
1571,1650,3
1572,1651,3
1573,1652,16
1574,1652,39
1578,1654,83
1579,1654,51
1580,1654,84
1581,1654,85
1582,1659,42
1583,1659,32
1584,1661,7
1585,1663,3
1586,1665,21
1587,1665,5
1588,1665,29
1589,1666,16
1590,1666,5
1591,1667,3
1592,1668,3
1593,1670,16
1594,1670,11
1595,1671,16
1596,1672,12
1597,1672,5
1598,1673,4
1599,1674,4
1600,1674,5
1601,1675,3
1602,1677,16
1603,1678,1
1604,1678,11
1605,1679,42
1606,1679,28
1607,1679,46
1608,1680,43
1609,1683,38
1610,1684,29
1611,1685,7
1612,1685,46
1613,1686,3
1614,1687,7
1615,1687,3
1619,1690,3
1620,1691,3
1621,1694,16
1622,1695,16
1623,1697,4
1624,1702,6
1625,1704,21
1626,1704,5
1629,1706,33
1630,1707,6
1631,1708,4
1632,1708,43
1633,1713,6
1634,1713,4
1635,1715,3
1636,1718,13
1637,1720,10
1638,1721,11
1639,1724,29
1640,1727,4
1641,1727,3
1642,1728,16
1643,1729,3
1644,1733,3
1645,1734,16
1646,1735,3
1647,1735,7
1648,1737,43
1649,1737,37
1650,1739,6
1651,1740,3
1652,1741,11
1653,1741,15
1654,1742,21
1655,1742,4
1656,1743,13
1657,1743,16
1658,1745,29
1659,1746,7
1660,1747,3
1661,1747,7
1663,1749,7
1664,1752,3
1665,1754,4
1666,1756,16
1667,1757,3
1668,1757,4
1669,1758,7
1670,1758,64
1671,1760,3
1672,1761,3
1673,1761,4
1674,1762,10
1675,1762,1
1676,1763,4
1677,1764,4
1678,1766,3
1679,1767,34
1680,1767,9
1681,1767,38
1682,1767,35
1683,1768,4
1684,1768,28
1685,1769,11
1686,1770,3
1687,1771,18
1688,1771,49
1689,1771,42
1690,1775,5
1691,1775,21
1692,1776,11
1693,1777,3
1694,1777,4
1695,1778,3
1696,1778,7
1697,1782,3
1698,1782,4
1701,1785,16
1702,1785,19
1705,1789,16
1706,1790,38
1707,1790,86
1708,1790,37
1709,1791,11
1710,1792,28
1711,1792,13
1712,1792,7
1718,1800,13
1719,1800,7
1720,1801,11
1722,1804,16
1723,1809,3
1724,1810,3
1725,1811,7
1726,1812,6
1727,1813,16
1728,1814,36
1729,1815,7
1730,1815,3
1731,1816,3
1732,1819,6
1733,1820,6
1734,1820,7
1735,1821,7
1736,1821,40
1737,1822,16
1738,1823,3
1739,1825,3
1740,1827,5
1741,1827,21
1742,1830,3
1743,1831,16
1744,1835,4
1745,1835,63
1746,1836,3
1747,1837,28
1748,1838,16
1749,1839,21
1750,1839,5
1751,1841,5
1752,1842,3
1753,1843,4
1754,1843,13
1755,1844,59
1756,1845,74
1757,1845,87
1758,1846,4
1759,1846,3
1760,1847,4
1761,1849,16
1762,1850,21
1763,1850,5
1767,1853,13
1768,1855,7
1769,1855,10
1770,1856,3
1771,1857,3
1772,1858,3
1773,1859,6
1774,1859,32
1775,1860,10
1776,1861,3
1778,1863,3
1779,1865,4
1780,1866,13
1781,1867,4
1782,1867,3
1783,1868,3
1784,1868,4
1785,1869,6
1786,1870,3
1787,1871,16
1788,1873,3
1789,1873,28
1790,1874,6
1791,1875,16
1792,1878,3
1793,1879,16
1795,1882,7
1796,1883,3
1797,1884,3
1798,1886,3
1799,1887,5
1800,1888,3
1801,1888,16
1802,1889,3
1803,1890,16
1804,1892,10
1805,1892,7
1806,1894,3
1807,1895,4
1808,1896,3
1809,1898,43
1810,1898,88
1811,1899,3
1812,1901,28
1813,1901,4
1814,1902,3
1815,1905,11
1818,1907,3
1819,1908,16
1820,1909,16
1823,1911,3
1824,1912,16
1825,1913,7
1826,1914,89
1827,1914,47
1828,1918,6
1829,1919,7
1831,1923,3
1832,1924,18
1833,1924,54
1834,1926,6
1836,1928,1
1837,1929,1
1838,1930,54
1839,1931,13
1840,1931,21
1841,1932,21
1842,1935,4
1843,1935,16
1844,1936,5
1845,1938,6
1846,1939,11
1847,1941,3
1849,1943,34
1850,1943,8
1851,1943,7
1852,1945,7
1853,1945,19
1854,1947,21
1855,1951,3
1856,1952,3
1857,1953,4
1858,1954,4
1859,1955,10
1861,1957,11
1862,1958,11
1863,1959,3
1864,1960,3
1865,1961,21
1866,1962,1
1867,1963,21
1868,1963,1
1869,1964,3
1870,1967,6
1871,1968,16
1872,1969,13
1873,1969,4
1874,1970,13
1875,1972,13
1876,1972,5
1877,1973,3
1878,1974,3
1879,1975,11
1880,1976,90
1882,1980,3
1883,1981,13
1884,1982,1
1885,1982,24
1886,1983,53
1887,1983,29
1888,1984,16
1889,1986,7
1890,1987,3
1891,1987,1
1892,1988,6
1893,1988,9
1894,1990,7
1895,1990,11
1896,1991,3
1897,1993,21
1898,1993,23
1899,1994,6
1900,1995,6
1901,1996,7
1902,1996,16
1903,1998,3
1904,1999,7
1905,2000,1
1906,2000,51
1907,2001,3
1908,2001,7
1909,2002,3
1910,2004,19
1911,2005,26
1913,2008,11
1914,2012,5
1915,2012,29
1916,2013,3
1917,2014,16
1918,2015,11
1919,2016,3
1920,2018,3
1921,2019,6
1922,2020,3
1923,2021,4
1924,2022,11
1928,2033,23
1931,2035,6
1932,2037,11
1933,2037,1
1934,2038,6
1935,2039,3
1936,2040,7
1938,2042,7
1939,2044,3
1940,2045,16
1941,2047,16
1942,2049,3
1943,2050,11
1944,2050,5
1946,2057,3
1950,2060,4
1952,2063,39
1953,2063,72
1957,2065,9
1958,2065,7
1959,2066,16
1960,2066,19
1961,2067,3
1962,2068,12
1963,2070,3
1964,2073,3
1965,2074,7
1966,2075,10
1967,2077,3
1971,2081,3
1973,2083,3
1974,2085,4
1975,2088,6
1976,2089,7
1977,2091,11
1978,2092,7
1979,2092,19
1980,2093,37
1981,2093,19
1982,2093,3
1983,2095,21
1984,2096,13
1985,2096,17
1986,2096,54
1987,2096,4
1988,2098,7
1989,2098,3
1990,2098,5
1991,2100,7
1992,2101,91
1993,2102,13
1994,2103,7
1995,2105,7
1998,2110,16
1999,2112,3
2000,2115,3
2001,2116,31
2002,2117,16
2003,2120,93
2004,2121,37
2005,2121,28
2006,2121,53
2007,2121,33
2008,2122,29
2009,2122,4
2010,2123,59
2011,2123,42
2012,2124,16
2013,2125,10
2014,2126,16
2015,2126,10
2016,2127,7
2017,2129,3
2018,2130,3
2019,2132,3
2020,2132,9
2021,2132,32
2022,2133,3
2023,2134,5
2024,2135,7
2025,2137,3
2026,2138,3
2027,2140,53
2028,2142,11
2029,2144,11
2030,2145,4
2031,2146,3
2032,2146,4
2033,2149,11
2034,2150,11
2035,2151,3
2036,2152,7
2037,2152,22
2038,2152,38
2039,2152,37
2041,2154,11
2043,2158,6
2044,2158,21
2045,2159,18
2046,2163,11
2047,2164,4
